NIVO78 STANDARD RULE ID REGISTRY — 1.40

Format: NUMBER | RULE ID | CLASS | PRIMARY CURSOR PROJECTION
085 | APP-TEST-UI-CRITICAL | GATE | 11-testing-quality.mdc
086 | APP-TEST-UNIT | GATE | 11-testing-quality.mdc
087 | APP-UI-A11Y-FLOOR | QA | 05-accessibility-i18n.mdc
088 | APP-UI-EXPLAIN-JARGON | QA | 05-accessibility-i18n.mdc
089 | APP-UPGRADE-BACKUP | GATE | 14-backup-upgrade-lifecycle.mdc
090 | APP-UPGRADE-DOWNGRADE | QA | 14-backup-upgrade-lifecycle.mdc
091 | APP-UPGRADE-INTERRUPTION | GATE | 14-backup-upgrade-lifecycle.mdc
092 | APP-UPGRADE-SUPPORTED-PATH | QA | 14-backup-upgrade-lifecycle.mdc
093 | APP-VAULT-CONTRACT | QA | 08-destructive-vault-errors.mdc
094 | AUDIT-VECTOR-FEEDBACK | QA | 06-output-support.mdc
095 | AUDIT-VECTOR-LEGAL-GATE | QA | 07-overrides-legal.mdc
096 | AUDIT-VECTOR-WEB | QA | 16-web-standards-a.mdc
097 | KB-COPY-DRIFT | QA | 17-web-marketing.mdc
098 | KB-FEEDBACK-ROUTING | QA | 06-output-support.mdc
099 | LEGAL-GATE | QA | 07-overrides-legal.mdc
100 | MARKETING-HUB-WILL-DRIFT | QA | 17-web-marketing.mdc
101 | MARKETING-HUB-WONT-DRIFT | QA | 17-web-marketing.mdc
102 | WEB-ABOUT-BRAND-PHILOSOPHY | QA | 16-web-standards-a.mdc
103 | WEB-HUB-BRAND-PHILOSOPHY | QA | 16-web-standards-a.mdc
104 | WEB-INDEX-NAV-LINKS | QA | 16-web-standards-a.mdc
105 | WEB-INDEX-WILL-DO | QA | 16-web-standards-a.mdc
106 | WEB-INDEX-WONT-DO | QA | 16-web-standards-a.mdc
107 | WEB-LEGAL-CSS-TOKENS | QA | 16-web-standards-a.mdc
108 | WEB-PRIVACY-DATE-SYNC | QA | 16-web-standards-a.mdc
109 | WEB-PRIVACY-FOOTER | QA | 16-web-standards-a.mdc
110 | WEB-PRIVACY-LAST-UPDATED | QA | 16-web-standards-a.mdc
111 | WEB-PRIVACY-PRODUCT-NAME | QA | 16-web-standards-a.mdc
112 | WEB-PRIVACY-PRODUCT-NAME-STYLE | QA | 16-web-standards-a.mdc
113 | WEB-PRIVACY-PRODUCT-NAME-SYNC | QA | 16-web-standards-a.mdc
114 | WEB-PRIVACY-SUPPORT-MAIL | QA | 16-web-standards-a.mdc
115 | WEB-PRODUCT-SUPPORT-CTA | QA | 16-web-standards-a.mdc
116 | WEB-REQUIRED-FILE | QA | 16-web-standards-a.mdc
117 | WEB-SEO-AUTHOR | QA | 18-web-seo-release.mdc
118 | WEB-SEO-CANONICAL | QA | 18-web-seo-release.mdc
119 | WEB-SEO-DESCRIPTION | QA | 18-web-seo-release.mdc
120 | WEB-SEO-DESCRIPTION-LENGTH | QA | 18-web-seo-release.mdc
121 | WEB-SEO-HOSTED-HEAD | QA | 18-web-seo-release.mdc
122 | WEB-SEO-HOSTED-JSON-LD | QA | 18-web-seo-release.mdc
123 | WEB-SEO-HOSTED-PROFILE-APA | QA | 18-web-seo-release.mdc
124 | WEB-SEO-HOSTED-PROFILE-APA-HELP | QA | 18-web-seo-release.mdc
125 | WEB-SEO-HOSTED-PROFILE-CANONICAL | QA | 18-web-seo-release.mdc
126 | WEB-SEO-HOSTED-RENDER-PRODUCT | QA | 18-web-seo-release.mdc
127 | WEB-SEO-HOSTED-RENDER-SUPPORT | QA | 18-web-seo-release.mdc
128 | WEB-SEO-LANG | QA | 18-web-seo-release.mdc
129 | WEB-SEO-OG-DESCRIPTION | QA | 18-web-seo-release.mdc
130 | WEB-SEO-OG-SITE-NAME | QA | 18-web-seo-release.mdc
131 | WEB-SEO-OG-TITLE | QA | 18-web-seo-release.mdc
132 | WEB-SEO-OG-URL | QA | 18-web-seo-release.mdc
133 | WEB-SEO-ROBOTS | QA | 18-web-seo-release.mdc
134 | WEB-SEO-TWITTER-CARD | QA | 18-web-seo-release.mdc
135 | WEB-SEO-TWITTER-TITLE | QA | 18-web-seo-release.mdc
136 | WEB-SEO-VIEWPORT | QA | 18-web-seo-release.mdc
137 | WEB-SUPPORT-BUG-IN-APP | QA | 16-web-standards-a.mdc
138 | WEB-SUPPORT-FEEDBACK-ROUTE | QA | 16-web-standards-a.mdc
139 | WEB-SUPPORT-FOOTER | QA | 16-web-standards-a.mdc
140 | WEB-SUPPORT-LEGAL-LINKS | QA | 16-web-standards-a.mdc
141 | WEB-SUPPORT-LOCAL-FIRST | QA | 16-web-standards-a.mdc
142 | WEB-SUPPORT-MAILTO-CONTACT | QA | 16-web-standards-a.mdc
143 | WEB-SUPPORT-MAILTO-SUPPORT | QA | 16-web-standards-a.mdc
144 | WEB-SUPPORT-NO-SERVER-FORM | QA | 16-web-standards-a.mdc
145 | WEB-SUPPORT-WILL-WONT | QA | 16-web-standards-a.mdc
146 | WEB-TERMS-DATE-SYNC | QA | 16-web-standards-a.mdc
147 | WEB-TERMS-EFFECTIVE | QA | 16-web-standards-a.mdc
148 | WEB-TERMS-PRIVACY-LINK | QA | 16-web-standards-a.mdc
149 | WEB-TERMS-VERSION-SYNC | QA | 16-web-standards-a.mdc
150 | WEB-FREE-APP-TIP-JAR | QA | 16-web-standards-a.mdc
151 | WEB-TYPOGRAPHY-MIN-SIZE | QA | 16-web-standards-a.mdc
152 | APP-WEBSITE-LINKS-STANDARD | QA | 06-output-support.mdc
153 | APP-UI-UNIFORM-SURFACE-VIEWPORT | GATE | uniform-ui-surface-viewport.mdc
154 | APP-ASSETS-TOP-LEVEL | GATE | 03-family-identity.mdc
155 | APP-SUPPORT-CHECK-FOR-UPDATES | QA | 06-output-support.mdc
156 | APP-RELEASE-PUBLISH-SPINE | GATE | 12-release-supply-chain.mdc
157 | APP-DESKTOP-CHROME-VERTICAL-ORDER | QA | 03-family-identity.mdc

CLASS DEFINITIONS
- STATIC = source/configuration requirement suitable for automated/static enforcement.
- GATE = release-blocking requirement requiring executable evidence.
- QA = human/manual evidence is required unless a later canonical revision explicitly promotes it.

The registry is an index, not an independent policy source. The canonical standard remains authoritative.
